UNC_CHA_REQUESTS.READS_LOCAL,0x150
UNC_CHA_REQUESTS.READS_REMOTE,0x250
UNC_CHA_REQUESTS.WRITES,0xc50
UNC_CHA_REQUESTS.WRITES_LOCAL,0x450
UNC_CHA_REQUESTS.WRITES_REMOTE,0x850
UNC_CHA_RING_BOUNCES_HORZ.AD,0x1ac
UNC_CHA_RING_BOUNCES_HORZ.AK,0x2ac
UNC_CHA_RING_BOUNCES_HORZ.BL,0x4ac
UNC_CHA_RING_BOUNCES_HORZ.IV,0x8ac
UNC_CHA_RING_BOUNCES_VERT.AD,0x1aa
UNC_CHA_RING_BOUNCES_VERT.AK,0x2aa
UNC_CHA_RING_BOUNCES_VERT.AKC,0x10aa
UNC_CHA_RING_BOUNCES_VERT.BL,0x4aa
UNC_CHA_RING_BOUNCES_VERT.IV,0x8aa
UNC_CHA_RING_SINK_STARVED_HORZ.AD,0x1ad
UNC_CHA_RING_SINK_STARVED_HORZ.AK,0x2ad
UNC_CHA_RING_SINK_STARVED_HORZ.AK_AG1,0x20ad
UNC_CHA_RING_SINK_STARVED_HORZ.BL,0x4ad
UNC_CHA_RING_SINK_STARVED_HORZ.IV,0x8ad
UNC_CHA_RING_SINK_STARVED_VERT.AD,0x1ab
UNC_CHA_RING_SINK_STARVED_VERT.AK,0x2ab
UNC_CHA_RING_SINK_STARVED_VERT.AKC,0x10ab
UNC_CHA_RING_SINK_STARVED_VERT.BL,0x4ab
UNC_CHA_RING_SINK_STARVED_VERT.IV,0x8ab
UNC_CHA_RING_SRC_THRTL,0xae
UNC_CHA_RxC_INSERTS.IPQ,0x413
UNC_CHA_RxC_INSERTS.IRQ,0x113
UNC_CHA_RxC_INSERTS.IRQ_REJ,0x213
UNC_CHA_RxC_INSERTS.PRQ,0x1013
UNC_CHA_RxC_INSERTS.PRQ_REJ,0x2013
UNC_CHA_RxC_INSERTS.RRQ,0x4013
UNC_CHA_RxC_INSERTS.WBQ,0x8013
UNC_CHA_RxC_IPQ0_REJECT.AD_REQ_VN0,0x122
UNC_CHA_RxC_IPQ0_REJECT.AD_RSP_VN0,0x222
UNC_CHA_RxC_IPQ0_REJECT.AK_NON_UPI,0x4022
UNC_CHA_RxC_IPQ0_REJECT.BL_NCB_VN0,0x1022
UNC_CHA_RxC_IPQ0_REJECT.BL_NCS_VN0,0x2022
UNC_CHA_RxC_IPQ0_REJECT.BL_RSP_VN0,0x422
UNC_CHA_RxC_IPQ0_REJECT.BL_WB_VN0,0x822
UNC_CHA_RxC_IPQ0_REJECT.IV_NON_UPI,0x8022
UNC_CHA_RxC_IPQ1_REJECT.ALLOW_SNP,0x4023
UNC_CHA_RxC_IPQ1_REJECT.ANY0,0x123
UNC_CHA_RxC_IPQ1_REJECT.HA,0x223
UNC_CHA_RxC_IPQ1_REJECT.LLC_OR_SF_WAY,0x2023
UNC_CHA_RxC_IPQ1_REJECT.LLC_VICTIM,0x423
UNC_CHA_RxC_IPQ1_REJECT.PA_MATCH,0x8023
UNC_CHA_RxC_IPQ1_REJECT.SF_VICTIM,0x823
UNC_CHA_RxC_IPQ1_REJECT.VICTIM,0x1023
UNC_CHA_RxC_IRQ0_REJECT.AD_REQ_VN0,0x118
UNC_CHA_RxC_IRQ0_REJECT.AD_RSP_VN0,0x218
UNC_CHA_RxC_IRQ0_REJECT.AK_NON_UPI,0x4018
UNC_CHA_RxC_IRQ0_REJECT.BL_NCB_VN0,0x1018
UNC_CHA_RxC_IRQ0_REJECT.BL_NCS_VN0,0x2018
UNC_CHA_RxC_IRQ0_REJECT.BL_RSP_VN0,0x418
UNC_CHA_RxC_IRQ0_REJECT.BL_WB_VN0,0x818
UNC_CHA_RxC_IRQ0_REJECT.IV_NON_UPI,0x8018
UNC_CHA_RxC_IRQ1_REJECT.ALLOW_SNP,0x4019
UNC_CHA_RxC_IRQ1_REJECT.ANY0,0x119
UNC_CHA_RxC_IRQ1_REJECT.HA,0x219
UNC_CHA_RxC_IRQ1_REJECT.LLC_OR_SF_WAY,0x2019
UNC_CHA_RxC_IRQ1_REJECT.LLC_VICTIM,0x419
UNC_CHA_RxC_IRQ1_REJECT.PA_MATCH,0x8019
UNC_CHA_RxC_IRQ1_REJECT.SF_VICTIM,0x819
UNC_CHA_RxC_IRQ1_REJECT.VICTIM,0x1019
UNC_CHA_RxC_ISMQ0_REJECT.AD_REQ_VN0,0x124
UNC_CHA_RxC_ISMQ0_REJECT.AD_RSP_VN0,0x224
UNC_CHA_RxC_ISMQ0_REJECT.AK_NON_UPI,0x4024
UNC_CHA_RxC_ISMQ0_REJECT.BL_NCB_VN0,0x1024
UNC_CHA_RxC_ISMQ0_REJECT.BL_NCS_VN0,0x2024
UNC_CHA_RxC_ISMQ0_REJECT.BL_RSP_VN0,0x424
UNC_CHA_RxC_ISMQ0_REJECT.BL_WB_VN0,0x824
UNC_CHA_RxC_ISMQ0_REJECT.IV_NON_UPI,0x8024
UNC_CHA_RxC_ISMQ0_RETRY.AD_REQ_VN0,0x12c
UNC_CHA_RxC_ISMQ0_RETRY.AD_RSP_VN0,0x22c
UNC_CHA_RxC_ISMQ0_RETRY.AK_NON_UPI,0x402c
UNC_CHA_RxC_ISMQ0_RETRY.BL_NCB_VN0,0x102c
UNC_CHA_RxC_ISMQ0_RETRY.BL_NCS_VN0,0x202c
UNC_CHA_RxC_ISMQ0_RETRY.BL_RSP_VN0,0x42c
UNC_CHA_RxC_ISMQ0_RETRY.BL_WB_VN0,0x82c
UNC_CHA_RxC_ISMQ0_RETRY.IV_NON_UPI,0x802c
UNC_CHA_RxC_ISMQ1_REJECT.ANY0,0x125
UNC_CHA_RxC_ISMQ1_REJECT.HA,0x225
UNC_CHA_RxC_ISMQ1_RETRY.ANY0,0x12d
UNC_CHA_RxC_ISMQ1_RETRY.HA,0x22d
UNC_CHA_RxC_OCCUPANCY.IPQ,0x411
UNC_CHA_RxC_OCCUPANCY.IRQ,0x111
UNC_CHA_RxC_OCCUPANCY.RRQ,0x4011
UNC_CHA_RxC_OCCUPANCY.WBQ,0x8011
UNC_CHA_RxC_OTHER0_RETRY.AD_REQ_VN0,0x12e
UNC_CHA_RxC_OTHER0_RETRY.AD_RSP_VN0,0x22e
UNC_CHA_RxC_OTHER0_RETRY.AK_NON_UPI,0x402e
UNC_CHA_RxC_OTHER0_RETRY.BL_NCB_VN0,0x102e
UNC_CHA_RxC_OTHER0_RETRY.BL_NCS_VN0,0x202e
UNC_CHA_RxC_OTHER0_RETRY.BL_RSP_VN0,0x42e
UNC_CHA_RxC_OTHER0_RETRY.BL_WB_VN0,0x82e
UNC_CHA_RxC_OTHER0_RETRY.IV_NON_UPI,0x802e
UNC_CHA_RxC_OTHER1_RETRY.ALLOW_SNP,0x402f
UNC_CHA_RxC_OTHER1_RETRY.ANY0,0x12f
UNC_CHA_RxC_OTHER1_RETRY.HA,0x22f
UNC_CHA_RxC_OTHER1_RETRY.LLC_OR_SF_WAY,0x202f
UNC_CHA_RxC_OTHER1_RETRY.LLC_VICTIM,0x42f
UNC_CHA_RxC_OTHER1_RETRY.PA_MATCH,0x802f
UNC_CHA_RxC_OTHER1_RETRY.SF_VICTIM,0x82f
UNC_CHA_RxC_OTHER1_RETRY.VICTIM,0x102f
UNC_CHA_RxC_PRQ0_REJECT.AD_REQ_VN0,0x120
UNC_CHA_RxC_PRQ0_REJECT.AD_RSP_VN0,0x220
UNC_CHA_RxC_PRQ0_REJECT.AK_NON_UPI,0x4020
UNC_CHA_RxC_PRQ0_REJECT.BL_NCB_VN0,0x1020
UNC_CHA_RxC_PRQ0_REJECT.BL_NCS_VN0,0x2020
UNC_CHA_RxC_PRQ0_REJECT.BL_RSP_VN0,0x420
UNC_CHA_RxC_PRQ0_REJECT.BL_WB_VN0,0x820
UNC_CHA_RxC_PRQ0_REJECT.IV_NON_UPI,0x8020
UNC_CHA_RxC_PRQ1_REJECT.ALLOW_SNP,0x4021
UNC_CHA_RxC_PRQ1_REJECT.ANY0,0x121
UNC_CHA_RxC_PRQ1_REJECT.HA,0x221
UNC_CHA_RxC_PRQ1_REJECT.LLC_OR_SF_WAY,0x2021
UNC_CHA_RxC_PRQ1_REJECT.LLC_VICTIM,0x421
UNC_CHA_RxC_PRQ1_REJECT.PA_MATCH,0x8021
UNC_CHA_RxC_PRQ1_REJECT.SF_VICTIM,0x821
UNC_CHA_RxC_PRQ1_REJECT.VICTIM,0x1021
UNC_CHA_RxC_REQ_Q0_RETRY.AD_REQ_VN0,0x12a
UNC_CHA_RxC_REQ_Q0_RETRY.AD_RSP_VN0,0x22a
UNC_CHA_RxC_REQ_Q0_RETRY.AK_NON_UPI,0x402a
UNC_CHA_RxC_REQ_Q0_RETRY.BL_NCB_VN0,0x102a
UNC_CHA_RxC_REQ_Q0_RETRY.BL_NCS_VN0,0x202a
UNC_CHA_RxC_REQ_Q0_RETRY.BL_RSP_VN0,0x42a
UNC_CHA_RxC_REQ_Q0_RETRY.BL_WB_VN0,0x82a
UNC_CHA_RxC_REQ_Q0_RETRY.IV_NON_UPI,0x802a
UNC_CHA_RxC_REQ_Q1_RETRY.ALLOW_SNP,0x402b
UNC_CHA_RxC_REQ_Q1_RETRY.ANY0,0x12b
UNC_CHA_RxC_REQ_Q1_RETRY.HA,0x22b
UNC_CHA_RxC_REQ_Q1_RETRY.LLC_OR_SF_WAY,0x202b
UNC_CHA_RxC_REQ_Q1_RETRY.LLC_VICTIM,0x42b
UNC_CHA_RxC_REQ_Q1_RETRY.PA_MATCH,0x802b
UNC_CHA_RxC_REQ_Q1_RETRY.SF_VICTIM,0x82b
UNC_CHA_RxC_REQ_Q1_RETRY.VICTIM,0x102b
UNC_CHA_RxC_RRQ0_REJECT.AD_REQ_VN0,0x126
UNC_CHA_RxC_RRQ0_REJECT.AD_RSP_VN0,0x226
UNC_CHA_RxC_RRQ0_REJECT.AK_NON_UPI,0x4026
UNC_CHA_RxC_RRQ0_REJECT.BL_NCB_VN0,0x1026
UNC_CHA_RxC_RRQ0_REJECT.BL_NCS_VN0,0x2026
UNC_CHA_RxC_RRQ0_REJECT.BL_RSP_VN0,0x426
UNC_CHA_RxC_RRQ0_REJECT.BL_WB_VN0,0x826
UNC_CHA_RxC_RRQ0_REJECT.IV_NON_UPI,0x8026
UNC_CHA_RxC_RRQ1_REJECT.ALLOW_SNP,0x4027
UNC_CHA_RxC_RRQ1_REJECT.ANY0,0x127
UNC_CHA_RxC_RRQ1_REJECT.HA,0x227
UNC_CHA_RxC_RRQ1_REJECT.LLC_OR_SF_WAY,0x2027
UNC_CHA_RxC_RRQ1_REJECT.LLC_VICTIM,0x427
UNC_CHA_RxC_RRQ1_REJECT.PA_MATCH,0x8027
UNC_CHA_RxC_RRQ1_REJECT.SF_VICTIM,0x827
UNC_CHA_RxC_RRQ1_REJECT.VICTIM,0x1027
UNC_CHA_RxC_WBQ0_REJECT.AD_REQ_VN0,0x128
UNC_CHA_RxC_WBQ0_REJECT.AD_RSP_VN0,0x228
UNC_CHA_RxC_WBQ0_REJECT.AK_NON_UPI,0x4028
UNC_CHA_RxC_WBQ0_REJECT.BL_NCB_VN0,0x1028
UNC_CHA_RxC_WBQ0_REJECT.BL_NCS_VN0,0x2028
UNC_CHA_RxC_WBQ0_REJECT.BL_RSP_VN0,0x428
UNC_CHA_RxC_WBQ0_REJECT.BL_WB_VN0,0x828
UNC_CHA_RxC_WBQ0_REJECT.IV_NON_UPI,0x8028
UNC_CHA_RxC_WBQ1_REJECT.ALLOW_SNP,0x4029
UNC_CHA_RxC_WBQ1_REJECT.ANY0,0x129
UNC_CHA_RxC_WBQ1_REJECT.HA,0x229
UNC_CHA_RxC_WBQ1_REJECT.LLC_OR_SF_WAY,0x2029
UNC_CHA_RxC_WBQ1_REJECT.LLC_VICTIM,0x429
UNC_CHA_RxC_WBQ1_REJECT.PA_MATCH,0x8029
UNC_CHA_RxC_WBQ1_REJECT.SF_VICTIM,0x829
UNC_CHA_RxC_WBQ1_REJECT.VICTIM,0x1029
UNC_CHA_RxR_BUSY_STARVED.AD_ALL,0x11e5
UNC_CHA_RxR_BUSY_STARVED.AD_CRD,0x10e5
UNC_CHA_RxR_BUSY_STARVED.AD_UNCRD,0x1e5
UNC_CHA_RxR_BUSY_STARVED.BL_ALL,0x44e5
UNC_CHA_RxR_BUSY_STARVED.BL_CRD,0x40e5
UNC_CHA_RxR_BUSY_STARVED.BL_UNCRD,0x4e5
UNC_CHA_RxR_BYPASS.AD_ALL,0x11e2
UNC_CHA_RxR_BYPASS.AD_CRD,0x10e2
UNC_CHA_RxR_BYPASS.AD_UNCRD,0x1e2
UNC_CHA_RxR_BYPASS.AK,0x2e2
UNC_CHA_RxR_BYPASS.AKC_UNCRD,0x80e2
UNC_CHA_RxR_BYPASS.BL_ALL,0x44e2
UNC_CHA_RxR_BYPASS.BL_CRD,0x40e2
UNC_CHA_RxR_BYPASS.BL_UNCRD,0x4e2
UNC_CHA_RxR_BYPASS.IV,0x8e2
UNC_CHA_RxR_CRD_STARVED.AD_ALL,0x11e3
UNC_CHA_RxR_CRD_STARVED.AD_CRD,0x10e3
UNC_CHA_RxR_CRD_STARVED.AD_UNCRD,0x1e3
UNC_CHA_RxR_CRD_STARVED.AK,0x2e3
UNC_CHA_RxR_CRD_STARVED.BL_ALL,0x44e3
UNC_CHA_RxR_CRD_STARVED.BL_CRD,0x40e3
UNC_CHA_RxR_CRD_STARVED.BL_UNCRD,0x4e3
UNC_CHA_RxR_CRD_STARVED.IFV,0x80e3
UNC_CHA_RxR_CRD_STARVED.IV,0x8e3
UNC_CHA_RxR_CRD_STARVED_1,0xe4
UNC_CHA_RxR_INSERTS.AD_ALL,0x11e1
UNC_CHA_RxR_INSERTS.AD_CRD,0x10e1
UNC_CHA_RxR_INSERTS.AD_UNCRD,0x1e1
UNC_CHA_RxR_INSERTS.AK,0x2e1
UNC_CHA_RxR_INSERTS.AKC_UNCRD,0x80e1
UNC_CHA_RxR_INSERTS.BL_ALL,0x44e1
UNC_CHA_RxR_INSERTS.BL_CRD,0x40e1
UNC_CHA_RxR_INSERTS.BL_UNCRD,0x4e1
UNC_CHA_RxR_INSERTS.IV,0x8e1
UNC_CHA_RxR_OCCUPANCY.AD_ALL,0x11e0
UNC_CHA_RxR_OCCUPANCY.AD_CRD,0x10e0
UNC_CHA_RxR_OCCUPANCY.AD_UNCRD,0x1e0
UNC_CHA_RxR_OCCUPANCY.AK,0x2e0
UNC_CHA_RxR_OCCUPANCY.AKC_UNCRD,0x80e0
UNC_CHA_RxR_OCCUPANCY.BL_ALL,0x44e0
UNC_CHA_RxR_OCCUPANCY.BL_CRD,0x20e0
UNC_CHA_RxR_OCCUPANCY.BL_UNCRD,0x4e0
UNC_CHA_RxR_OCCUPANCY.IV,0x8e0
UNC_CHA_SF_EVICTION.E_STATE,0x23d
UNC_CHA_SF_EVICTION.M_STATE,0x13d
UNC_CHA_SF_EVICTION.S_STATE,0x43d
UNC_CHA_SNOOPS_SENT.ALL,0x151
UNC_CHA_SNOOPS_SENT.BCST_LOCAL,0x1051
UNC_CHA_SNOOPS_SENT.BCST_REMOTE,0x2051
UNC_CHA_SNOOPS_SENT.DIRECT_LOCAL,0x4051
UNC_CHA_SNOOPS_SENT.DIRECT_REMOTE,0x8051
UNC_CHA_SNOOPS_SENT.LOCAL,0x451
UNC_CHA_SNOOPS_SENT.REMOTE,0x851
UNC_CHA_SNOOP_RESP.RSPCNFLCT,0x405c
UNC_CHA_SNOOP_RESP.RSPFWD,0x805c
UNC_CHA_SNOOP_RESP.RSPFWDWB,0x205c
UNC_CHA_SNOOP_RESP.RSPI,0x15c
UNC_CHA_SNOOP_RESP.RSPIFWD,0x45c
UNC_CHA_SNOOP_RESP.RSPS,0x25c
UNC_CHA_SNOOP_RESP.RSPSFWD,0x85c
UNC_CHA_SNOOP_RESP.RSPWB,0x105c
UNC_CHA_SNOOP_RESP_LOCAL.RSPCNFLCT,0x405d
UNC_CHA_SNOOP_RESP_LOCAL.RSPFWD,0x805d
UNC_CHA_SNOOP_RESP_LOCAL.RSPFWDWB,0x205d
UNC_CHA_SNOOP_RESP_LOCAL.RSPI,0x15d
UNC_CHA_SNOOP_RESP_LOCAL.RSPIFWD,0x45d
UNC_CHA_SNOOP_RESP_LOCAL.RSPS,0x25d
UNC_CHA_SNOOP_RESP_LOCAL.RSPSFWD,0x85d
UNC_CHA_SNOOP_RESP_LOCAL.RSPWB,0x105d
UNC_CHA_SNOOP_RSP_MISC.MTOI_RSPDATAM,0x26b
UNC_CHA_SNOOP_RSP_MISC.MTOI_RSPIFWDM,0x16b
UNC_CHA_SNOOP_RSP_MISC.PULLDATAPTL_HITLLC,0x206b
UNC_CHA_SNOOP_RSP_MISC.PULLDATAPTL_HITSF,0x106b
UNC_CHA_SNOOP_RSP_MISC.RSPIFWDMPTL_HITLLC,0x86b
UNC_CHA_SNOOP_RSP_MISC.RSPIFWDMPTL_HITSF,0x46b
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG0.TGR0,0x1d0
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG0.TGR1,0x2d0
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG0.TGR2,0x4d0
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG0.TGR3,0x8d0
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG0.TGR4,0x10d0
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG0.TGR5,0x20d0
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG0.TGR6,0x40d0
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG0.TGR7,0x80d0
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG1.TGR0,0x1d2
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG1.TGR1,0x2d2
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG1.TGR2,0x4d2
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG1.TGR3,0x8d2
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG1.TGR4,0x10d2
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG1.TGR5,0x20d2
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG1.TGR6,0x40d2
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_AD_AG1.TGR7,0x80d2
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG0.TGR0,0x1d4
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG0.TGR1,0x2d4
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG0.TGR2,0x4d4
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG0.TGR3,0x8d4
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG0.TGR4,0x10d4
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG0.TGR5,0x20d4
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG0.TGR6,0x40d4
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG0.TGR7,0x80d4
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG1.TGR0,0x1d6
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG1.TGR1,0x2d6
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG1.TGR2,0x4d6
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG1.TGR3,0x8d6
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG1.TGR4,0x10d6
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG1.TGR5,0x20d6
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG1.TGR6,0x40d6
UNC_CHA_STALL0_NO_TxR_HORZ_CRD_BL_AG1.TGR7,0x80d6
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_AD_AG0.TGR10,0x4d1
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_AD_AG0.TGR8,0x1d1
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_AD_AG0.TGR9,0x2d1
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_AD_AG1_1.TGR10,0x4d3
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_AD_AG1_1.TGR8,0x1d3
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_AD_AG1_1.TGR9,0x2d3
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_BL_AG0_1.TGR10,0x4d5
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_BL_AG0_1.TGR8,0x1d5
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_BL_AG0_1.TGR9,0x2d5
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_BL_AG1_1.TGR10,0x4d7
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_BL_AG1_1.TGR8,0x1d7
UNC_CHA_STALL1_NO_TxR_HORZ_CRD_BL_AG1_1.TGR9,0x2d7
UNC_CHA_TOR_INSERTS.ALL,0xc001ff0000ff35
UNC_CHA_TOR_INSERTS.DDR,0x400000035
UNC_CHA_TOR_INSERTS.DDR4,0x400000035
UNC_CHA_TOR_INSERTS.EVICT,0x235
UNC_CHA_TOR_INSERTS.HIT,0x100000035
UNC_CHA_TOR_INSERTS.IA,0xc001ff00000135
UNC_CHA_TOR_INSERTS.IA_CLFLUSH,0xc8c7ff00000135
UNC_CHA_TOR_INSERTS.IA_CLFLUSHOPT,0xc8d7ff00000135
UNC_CHA_TOR_INSERTS.IA_CRD,0xc80fff00000135
UNC_CHA_TOR_INSERTS.IA_CRD_PREF,0xc88fff00000135
UNC_CHA_TOR_INSERTS.IA_DRD,0xc817ff00000135
UNC_CHA_TOR_INSERTS.IA_DRDPTE,0xc837ff00000135
UNC_CHA_TOR_INSERTS.IA_DRD_OPT,0xc827ff00000135
UNC_CHA_TOR_INSERTS.IA_DRD_OPT_PREF,0xc8a7ff00000135
UNC_CHA_TOR_INSERTS.IA_DRD_PREF,0xc897ff00000135
UNC_CHA_TOR_INSERTS.IA_HIT,0xc001fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_CRD,0xc80ffd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_CRD_PREF,0xc88ffd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_DRD,0xc817fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_DRDPTE,0xc837fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_DRD_OPT,0xc827fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_DRD_OPT_PREF,0xc8a7fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_DRD_PREF,0xc897fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_ITOM,0xcc47fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_LLCPREFCODE,0xcccffd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_LLCPREFCRD,0xcccffd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_LLCPREFDATA,0xccd7fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_LLCPREFDRD,0xccd7fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_LLCPREFRFO,0xccc7fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_RFO,0xc807fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_RFO_PREF,0xc887fd00000135
UNC_CHA_TOR_INSERTS.IA_HIT_SPECITOM,0xcc57fd00000135
UNC_CHA_TOR_INSERTS.IA_ITOM,0xcc47ff00000135
UNC_CHA_TOR_INSERTS.IA_ITOMCACHENEAR,0xcd47ff00000135
UNC_CHA_TOR_INSERTS.IA_LLCPREFCODE,0xcccfff00000135
UNC_CHA_TOR_INSERTS.IA_LLCPREFDATA,0xccd7ff00000135
UNC_CHA_TOR_INSERTS.IA_LLCPREFRFO,0xccc7ff00000135
UNC_CHA_TOR_INSERTS.IA_MISS,0xc001fe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD,0xc80ffe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_LOCAL,0xc80efe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_PREF,0xc88ffe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_PREF_LOCAL,0xc88efe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_PREF_REMOTE,0xc88f7e00000135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_REMOTE,0xc80f7e00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD,0xc817fe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRDPTE,0xc837fe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_DDR,0xc8178600000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_LOCAL,0xc816fe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_LOCAL_DDR,0xc8168600000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_LOCAL_PMM,0xc8168a00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_OPT,0xc827fe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_OPT_PREF,0xc8a7fe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PMM,0xc8178a00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF,0xc897fe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_DDR,0xc8978600000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_LOCAL,0xc896fe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_LOCAL_DDR,0xc8968600000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_LOCAL_PMM,0xc8968a00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_PMM,0xc8978a00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_REMOTE,0xc8977e00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_REMOTE_DDR,0xc8970600000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_REMOTE_PMM,0xc8970a00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_REMOTE,0xc8177e00000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_REMOTE_DDR,0xc8170600000135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_REMOTE_PMM,0xc8170a00000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR,0xc867fe00000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR_DDR,0xc8678600000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR_DRAM,0xc8678600000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR_LOCAL_DDR,0xc8668600000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR_LOCAL_DRAM,0xc8668600000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR_LOCAL_PMM,0xc8668a00000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR_PMM,0xc8678a00000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR_REMOTE_DDR,0xc8670600000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR_REMOTE_DRAM,0xc8670600000135
UNC_CHA_TOR_INSERTS.IA_MISS_FULL_STREAMING_WR_REMOTE_PMM,0xc8670a00000135
UNC_CHA_TOR_INSERTS.IA_MISS_ITOM,0xcc47fe00000135
